"District_Name","RuralandUrban","households","Livable","Dilapidated","Latrine_premise","household_rural","houshold_urban","rural_livable","rural_dilapidated","rural_premise","urban_livable","urban_dilapidated","urban_premise"
"Bathinda","Total",100,44.4,6.7,87.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bathinda","Urban",100,32.4,5.4,93.1,0.0,130.9,0.0,0.0,0.0,32.4,5.4,93.1
"Mansa","Rural",100,3726929426.5862904,55422.07200000001,484173.379,3727469022.0372906,0.0,3726929426.5862904,55422.07200000001,484173.379,0.0,0.0,0.0
"Mansa","Total",100,4011337395.54677,53882.57000000001,521121.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mansa","Urban",100,5036391117.0085,45415.309,654288.35,0.0,5037090820.6675005,0.0,0.0,0.0,5036391117.0085,45415.309,654288.35
"Patiala","Rural",100,27778724423.907078,134593.70599999998,1465365.278,27780324382.89108,0.0,27778724423.907078,134593.70599999998,1465365.278,0.0,0.0,0.0
"Patiala","Total",100,30761433514.70176,111845.474,1622707.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Patiala","Urban",100,34822230228.67525,79618.812,1836919.7340000002,0.0,34824146767.221245,0.0,0.0,0.0,34822230228.67525,79618.812,1836919.7340000002
"Amritsar","Rural",100,55.2,7.8,60.8,123.8,0.0,55.2,7.8,60.8,0.0,0.0,0.0
"Amritsar","Total",100,48.1,6.5,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Amritsar","Urban",100,42.5,5.4,93.4,0.0,141.3,0.0,0.0,0.0,42.5,5.4,93.4
"Tarn Taran","Rural",100,8123098731.95592,90689.787,725518.296,8123914940.038919,0.0,8123098731.95592,90689.787,725518.296,0.0,0.0,0.0
"Tarn Taran","Total",100,8499168117.694619,88450.533,759107.1059999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Tarn Taran","Urban",100,10993761709.76133,79493.51699999999,981912.879,0.0,10994823116.15733,0.0,0.0,0.0,10993761709.76133,79493.51699999999,981912.879
"Rupnagar","Rural",100,35.6,6.0,56.9,98.5,0.0,35.6,6.0,56.9,0.0,0.0,0.0
"Rupnagar","Total",100,33.4,5.8,66.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Rupnagar","Urban",100,27.6,5.0,91.7,0.0,124.30000000000001,0.0,0.0,0.0,27.6,5.0,91.7
"Sahibzada Ajit Singh Nagar","Rural",100,43.2,7.3,60.7,111.2,0.0,43.2,7.3,60.7,0.0,0.0,0.0
